match_id,winning_team,mid_boss.team_claimed,1,2,3,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,25,27,31,35,50,52,58,60,63,64,65,66,67,69,72,76,77,79,80,81
84031406,Team0,0,0,27798,0,-28656,0,0,0,0,24128,0,-27212,0,0,0,0,-22190,0,-23837,25651,0,-23750,25604,25963,0,0,0,0,29115,0,0,0,0,0,-25389,0,0,0,0
84031463,Team0,1,0,0,0,26992,24094,0,28893,0,0,-19692,0,0,0,0,0,0,0,23454,0,-20740,-20307,0,-27451,0,0,0,28046,0,-23151,0,0,0,0,28303,0,0,0,-25717
84031479,Team0,-1,0,0,0,0,0,29284,0,0,-20187,0,0,-25447,22357,0,0,0,22915,0,0,23597,0,0,0,0,0,0,-34303,0,-27098,-29918,26943,0,0,29825,0,0,-27313,0
84031490,Team1,1,0,-26856,0,0,27105,0,32362,0,-23174,0,-23154,0,0,0,0,-25452,0,0,0,-28646,0,0,-26450,25818,0,0,34257,0,0,0,0,25541,0,0,0,0,25508,0
84031506,Team1,-1,-37622,0,21853,0,0,31311,0,-31731,0,0,0,0,0,0,-31433,0,22384,0,0,25832,0,0,-29139,-31103,0,0,0,0,0,-30465,12911,0,0,0,0,0,0,32618
84031556,Team0,1,0,-29878,0,0,0,0,0,-23167,0,0,0,0,28478,0,0,0,25756,0,26683,-28088,25814,-21777,0,0,-29651,29738,27875,0,0,-24958,0,0,0,0,0,0,0,0
84031571,Team0,1,0,-25196,0,0,27434,30012,0,0,-23416,29065,-29043,0,28880,0,0,0,0,0,0,0,-21982,-23100,0,0,0,0,30033,28039,0,-27876,0,0,0,0,0,0,0,0
84031578,Team0,1,0,0,0,0,0,0,0,0,0,0,-26215,25860,23667,0,-26284,-29783,-23692,23348,25193,26367,-21395,0,0,0,-24452,0,0,25582,0,0,0,0,0,0,0,0,0,0
84031615,Team0,1,0,-28320,0,0,0,0,-23080,30027,0,25435,31529,0,0,-23954,0,-24230,28532,0,0,0,24903,0,0,31999,0,0,0,-30451,0,0,0,0,0,0,0,0,0,-24839
84031627,Team1,-1,0,0,-24157,0,27021,-30761,0,0,-25927,0,23898,0,24533,-26516,0,-31607,0,20867,0,0,0,0,0,0,0,0,0,25763,26290,0,0,0,0,0,-23231,0,0,0
84031642,Team0,1,0,0,0,0,0,0,0,31781,29899,0,0,0,0,29544,0,0,0,0,27376,28386,0,0,-26020,0,0,-20860,27374,-19821,-31000,-31199,0,0,0,0,0,0,0,-19773
84031643,Team0,-1,0,0,0,-31173,0,26519,0,-24219,0,22136,-28623,0,0,0,0,-23373,25315,0,0,27400,-25422,0,0,0,0,28070,24389,-28575,0,0,0,0,0,0,0,0,0,0
84031668,Team0,0,-27436,0,-25079,0,0,0,0,0,0,0,0,24243,-23930,0,-29927,-25721,0,27083,0,-25326,0,0,0,0,0,0,35471,0,28944,25384,0,0,24726,0,0,0,0,0
84031680,Team1,0,0,0,0,25255,0,-29146,27146,0,23255,0,0,0,26890,0,-25124,0,0,0,-27971,0,25726,0,0,0,0,0,22995,0,0,-22782,-23201,0,0,0,-27484,0,0,0
84031687,Team1,-1,-23494,0,0,0,0,0,0,0,0,0,-26382,0,23028,0,-23856,-24003,0,0,-28134,0,-23293,0,20860,0,0,0,0,23582,0,25148,23593,0,0,0,0,0,0,21605
84031707,Team1,-1,-33982,30737,0,-31228,0,0,24050,-29066,0,0,0,0,21997,0,0,0,0,-27354,0,23880,-24509,23885,0,0,0,0,0,0,34959,0,0,0,0,0,0,0,-24666,0
84031779,Team1,0,0,0,0,0,22082,0,24436,-27823,0,0,0,0,25789,-27468,0,0,0,-26995,-31909,0,0,0,-26260,0,26719,0,21137,23148,0,0,0,0,0,0,0,0,-25904,0
84031828,Team0,0,-26522,32822,0,0,21480,0,0,-24762,0,25049,24741,0,0,0,-27413,-30368,0,0,-25683,0,0,0,31166,0,0,0,0,-26026,0,0,0,0,0,0,24134,0,0,0
84031855,Team0,1,25069,0,0,0,0,-25469,22559,-5182,0,0,0,0,0,23436,21020,0,-20399,0,0,0,21932,-15695,0,0,0,0,0,0,-21067,29211,0,0,0,0,0,0,0,-22541
84032034,Team1,0,0,0,0,0,0,-31156,0,0,25601,0,0,0,24496,24811,-28823,0,-27374,0,0,0,-24787,0,0,0,26185,-26115,0,0,27111,-31926,0,0,0,0,24859,0,0,0
84032059,Team1,1,25106,31443,0,-27328,0,0,0,0,0,24795,0,0,0,0,0,0,24383,0,0,0,-25831,0,0,0,0,0,0,-23574,0,0,-23738,22949,-31496,-27987,0,0,0,27840
